노선명,구 간,노폭(m),설치년도,조도(lx),경간(m),형태,선로배전방식,등주타입,본수,광원
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY,2,LED100(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY,3,LED125(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-20RY(2),1,LED120W
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY ⑶,3,LED120W
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY ⑶,4,LED125(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY ⑷,1,LED125(W)
통일로,서울로~용산구계(하행방향),17.5,2018,21,26,A,4선로,R9-1.5RY,15,LED75(W)
통일로,서울로~용산구계(하행방향),17.5,2018,21,26,A,5선로,R9-1.5R(4등용),2,LED75(W)
통일로,서울로~용산구계(하행방향),17.5,2018,21,26,A,6선로,신호등통합,,LED75(W)
통일로,서울로~용산구계(하행방향),40,2005,22,30,B,4선로,SE12-28Q,17,LED120(W)
통일로,서울로~용산구계(하행방향),40,2005,22,30,B,4선로,SE12-28QY,4,LED120(W)
퇴계로,서울역 ~ 우리은행본점,35,2019,22,25,B,3선로,E10 -25Q,3,CDM250(W)
퇴계로,서울역 ~ 우리은행본점,35,2019,15,30,B,3선로,SR4.0RY,,
퇴계로,서울역 ~ 우리은행본점,35,2019,22,25,B,4선로,SE10-25Q,12,LED150(W)
퇴계로,서울로초입~우리은행본점,35,2018,22,25,B,4선로,R10-25R,48,LED100(W)
퇴계로,서울로초입~우리은행본점,35,2001,22,25,A,4선로,SE10-25QY,1,LED150(W)
퇴계로,서울로초입~우리은행본점,35,2009,22,30,C,4선로,SE10-25QY(통),1,MH200(W)
퇴계로,서울로초입~우리은행본점,35,2019,22,30,C,4선로,SE10-25QY(통),1,LED100(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2019,22,25,A,4선로,SR12-28Q,27,CDM250(W)
퇴계로,대연각빌딩 ~ 퇴계로4가,35,2019,22,25,A,4선로,SR12-28Q,16,LED100(W)
퇴계로,(대연각 빌딩~밀레오레쇼핑 좌측),35,2018,22,25,A,4선로,R10-2.5R,20,LED100(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2004,22,25,A,4선로,SR12-28QY,3,MH200(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2004,22,25,A,4선로,SR12-28QY ⑶,2,MH200(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2009,22,30,C,4선로,SR12-28R(통),1,MH200(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2009,22,30,C,4선로,SR12-28RY(통),1,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2009,22,30,C,4선로,SR12-28R(통),2,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2009,22,30,C,4선로,SR12-28RY(통),2,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2004,22,25,B,4선로,SR12-18RY ⑷,1,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2004,22,25,A,4선로,SR12-28Q,33,CDM250(W)
퇴계로,퇴계로3가~퇴계로4가,35,2004,22,25,A,4선로,SR12-28QY,1,CDM250(W)
퇴계로,퇴계로4가~퇴계로5가,35,2004,22,25,A,4선로,SR12-28Q,22,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2004,22,25,A,4선로,SR12-28QY,2,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2004,22,25,A,4선로,SR12-28QY ⑶,1,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2009,22,30,B,4선로,SR10-28R(통),3,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2009,22,30,C,4선로,SR12-28RY(통),2,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-28R,48,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-28RY,8,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-28R ⑶,1,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-18RY ⑷,1,MH200(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2009,22,25,B,4선로,SR12-18RY (통),2,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2013,20,20,B,4선로,DR10-20R,2,CDM200(W)
퇴계로,한양공고~도로교통안전회관,30,2006,22,30,A,4선로,SC12-28SR,56,LED100(W)
퇴계로,한양공고~도로교통안전회관,30,2006,22,30,A,4선로,SC12-28SRY,10,LED100(W)
퇴계로,한양공고~도로교통안전회관,30,2006,22,30,A,4선로,SC12-SRY ⑶,3,LED100(W)
후암로,남대문경찰서~후암동삼거리,25,2009,22,30,C,4선로,E10-25SR,10,LED100(W)
후암로,남대문경찰서~후암동삼거리,25,2009,22,30,C,4선로,E10-25SRY,1,LED100(W)
난계로21길,롯데캐슬~영도교 이면도로,6,2008,20,25,C,4선로,R08-25R,16,LED60(W)
남대문로10길,경기빌딩~한화B/D 주변도로,12,2010,20,20,C,6선로,AR05,9,CDM150(W)
남대문로10길,경기빌딩~한화B/D 주변도로,12,2010,20,20,C,6선로,AR05,7,CDM200(W)
남대문로10길,경기빌딩~한화B/D 주변도로,12,2008,22,25,C,3선로,R08-25R,6,CDM200(W)
남대문로1길,북창길~소공동사무소,12,2009,22,25,C,3선로,R07-1.5R,12,LED50(W)
남대문로7길,조선호텔~영프라자,15,2007,22,35,C,3선로,R10-25R,6,LED120(W)
남대문로9길,시청뒤~하나은행본점,12,2005,22,25,B,4선로,C05R,15,LED75(W)
남대문로9길,시청뒤~하나은행본점,12,2011,22,25,B,4선로,AR05,14,LED50(W)
남대문시장길,남대문쇼핑몰(매사앞),10,2000,22,20,C,3선로,SR08-0.3SR,5,LED60(W)
다동길,효령빌딩 옆이면도로,12,2006,22,20,B,4선로,C5.5Y,19,MH200(W)
다산로36길,밀알성교회~푸리지오APT,10,2007,20,30,C,4선로,R06,13,LED60(W)
다산로36길,밀알성교회~푸리지오APT,10,2011,22,27,C,4선로,R07-20R,5,LED50(W)
다산로36길,밀알성교회~푸리지오APT,10,2011,22,27,C,4선로,R08-20R,25,CDM200(W)
다산로44길,율원치안센타~신당5동주민센타,10,2009,20,25,C,4선로,R08,23,LED50(W)
다산로44길,카센타~다산공원 주변 도로,10,2010,20,25,C,4선로,R08,42,LED50(W)
대현길,삼성(래미안)~대경중학교,6,1998,22,25,C,3선로,SR05,14,MH200(W)
덕수궁길,시청별관~시네마 정동,6,1998,20,20,C,3선로,C3.6RY,3,MH200(W)
덕수궁길,시청별관~시네마 정동,8,2005,22,20,C,4선로,AR4.5,30,CDM150(W)
덕수궁길,시청별관~덕수초교,8,2006,20,25,C,4선로,AR4.5,5,CDM150(W)
덕수궁길,시청별관~덕수초교,8,2006,20,25,C,4선로,AR4.5,6,CDM250(W)
덕수궁길,시청별관~덕수초교,8,2006,20,25,C,4선로,AR4.5Y,1,CDM150(W)
동대입구,장충리틀야구장이면도로,16,2005,22,20,C,4선로,SR10-25SR,5,LED100(W)
동호로10길,하이츠APT이면도로,16,2005,22,30,B,4선로,SR07-25SR,8,LED100(W)
동호로5길,서울방송고등학교~쌈지공원 이면,2,2017,20,20,C,3선로,AR05,5,LED50(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,1998,20,20,C,3선로,SR05,26,LED50(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,2001,20,30,B,4선로,SE09-20R,18,LED60(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,2001,20,30,B,4선로,SE09-20RY,1,LED60(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,2005,20,20,C,4선로,SR10-25SR,8,LED80(W)
마장로1길,광희패션몰 주변 이면도로,12,2009,22,30,C,4선로,R10-25R,8,LED75(W)
마장로1길,광희패션몰 주변 이면도로,12,2010,22,25,C,4선로,AR05,8,LED50(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,SR09-20Q,7,LED100(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,SR09-20QY,2,LED100(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,한전주,2,LED80(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,SR09-20Q,5,LED80(W)
명동11길,동양증권~ 명동성당,12,2008,20,25,C,3선로,AR05,8,LED50(W)
명동2길,아바타쇼핑몰~중앙우체국,8,2008,22,30,C,3선로,R06,6,LED50(W)
명동6길,사보이H/T~명동파출소,8,2008,20,30,C,3선로,R06,20,LED50(W)
명동8가길,지산빌딩~하이헤리엇빌딩,15,2010,22,30,C,3선로,AR05,18,LED50(W)
명동8길,을지로입구~퇴계로,15,2009,20,30,C,3선로,R05,19,LED50(W)
명동8나길,하이헤리엇빌딩~중앙우체국,15,2008,22,30,C,3선로,AR05,9,LED50(W)
명동9가길,명동파출소~SK네트웍B/D,10,2008,20,30,C,3선로,R05,6,LED50(W)
명동9가길,명동파출소~SK네트웍B/D,10,2008,20,25,C,3선로,AR06,18,LED50(W)
명동9길,명동파출소~SK네트웍B/D,10,2008,20,25,C,3선로,AR06,25,LED50(W)
명동길,아바타쇼핑몰~명동성당,15,2009,20,25,B,3선로,R06,19,LED50(W)
명동길,아바타쇼핑몰~명동성당,15,2009,20,25,B,3선로,R06,4,LED50(W)
삼일대로10길,수표다릿길~삼일로,8,2011,22,21,B,6선로,R08-20R,16,LED75(W)
삼일대로10길,수표다릿길~삼일로,8,2011,22,21,B,6선로,R08-20RY,1,LED75(W)
서소문로11길,시청별관~서소문로,6,1995,22,20,C,3선로,C4.8RY,12,LED35(W)
서소문로6길,동아빌딩 주변도로,6,2010,22,25,C,6선로,R08-25R,4,CDM250(W)
서소문로9길,바비엥~서소문고가,6,2006,22,20,C,4선로,R07-1.5R,12,LED75(W)
서애로,퇴계로4가~아싸컴빌딩,6,2017,30,20,B,4선로,R06,11,LED70W
서애로,퇴계로4가~아싸컴빌딩,6,2017,30,20,B,4선로,R06-06R,8,LED50W
서애로,퇴계로4가~아싸컴빌딩,6,2017,30,20,B,2선로,SR10-25R,1,LED100W
서애로,퇴계로4가~아싸컴빌딩,6,2017,30,20,B,4선로,R06-06R,2,LED50W
서애로1길,서애로1길,6,2017,30,18,c,2선로,R06,7,LED70W
세종대로5길,YTN뒷길 주변도로,12,2014,22,23,C,2선식,R07-1.5R,7,CDM200(W)
세종대로7길,상공회의소~중앙일보(주변),12,2006,22,25,B,4선로,SE09-15Q,15,LED60(W)
세종대로7길,상공회의소~중앙일보(주변),12,2006,22,25,B,4선로,SE09-15Q,4,LED70(W)
세종대로9길,상공회의소 주변,12,2006,22,25,B,4선로,SE09-15QY,5,LED120(W)
세종대로9길,상공회의소 주변,12,2006,22,25,B,4선로,SE09-15Q,7,LED70(W)
세종대로9길,상공회의소 주변,12,2006,22,25,B,5선로,SE09-15QY,1,LED60(W)
세종대로11길,상공회의소 주변,12,2008,20,20,C,3선로,R08-25R,5,LED60(W)
세종대로11길,상공회의소 주변,12,2008,15,30,B,3선로,R10-25R,8,LED70(W)
세종대로18길,신동아B/D~조선H/T,25,2007,22,35,C,3선로,R10-25R,11,LED120(W)
세종대로18길,신동아B/D~조선H/T,25,2007,22,35,C,3선로,R12-25RY,1,LED120(W)
세종대로21길,시의회 ~오양수산빌딩,10,2000,20,20,C,3선로,Q05Y,19,LED60(W)
소월로2길,힐튼호텔~후암동삼거리,12,2009,22,30,C,6선로,R10-2.5SRY,1,LED50(W)
소월로2길,힐튼호텔~후암동삼거리,12,2009,22,30,C,4선로,R10-2.5SR,6,LED50(W)
수표로2길,극동빌딩 이면도로,10,1998,15,20,C,3선로,C08Y,6,LED50(W)
수표로2길,극동빌딩 이면도로,10,2013,25,18,C,4선로,R08-15RY,2,CDM200(W)
수표로2길,극동빌딩 이면도로,8,2013,25,18,C,4선로,R05,5,CDM150(W)
수표로6길,충무로타워B/D~수표다릿길,10,2007,20,20,C,3선로,R05,8,LED50(W)
을지로19길(상가),청계상가,12,1998,22,30,C,3선로,벽부 치부형,0,CDM250(W)
을지로20길(상가),신성상가,8,2006,22,30,C,4선로,SR08-13R,12,MH350(W)
을지로39길,국립의료원~중구구민회관,12,2016,20,25,A,4선식,SE08-20Q,14,LED70(W)
장충단로13길,중구구민회관~현대아울렛,10,2001,20,25,C,4선로,SE08-20Q,6,LED90(W)
장충단로13길,현대아울렛~밀레오레,10,2001,20,25,C,4선로,R09-20R,3,LED90(W)
장충단로13길,동화상가~평화시장뒤,10,2001,20,30,C,4선로,SR09-25Q,13,LED90(W)
장충단로13길,동화상가~평화시장뒤,10,2001,22,30,C,4선로,C4.8,6,MH200(W)
을지로7길,청계천~을지로,10,2014,22,20,,4선로,Q06-09Q,12,LED90(W)
을지로9길,청계천 3가~삼일로,8,2011,22,25,C,4선로,R08-20R,6,LED75(W)
을지로45길,한양공고~맑은내길,25,2015,22,30,B,4선로,SR11-25R,23,MH200(W)
을지로45길,한양공고~맑은내길,25,2015,22,30,B,4선로,SR11-25R,10,LED75(W)
정동길,덕수궁~경향신문사,15,1992,22,30,C,3선로,C4.8RY,7,LED50(W)
정동길,덕수궁~경향신문사,15,2005,22,20,B,4선로,AR05,19,CDM350(W)
중림로,서부역~충정로역,16,2018,22,25,B,4선로,R05-0.5R,17,LED50(W)
중림로,서부역~충정로역,16,2014,15,40,B,4선로,R09-25R,5,LED100(W)
중림로,서부역~충정로역,16,2007,22,25,B,4선로,R10-25R,15,LED60(W)
중림로,서부역~충정로역,16,2018,22,25,B,4선로,R10-25R,13,LED60(W)
청구로,광희문~청구역,20,2013,20,20,B,4선로,DR10-20R,12,CDM200(W)
청구로,광희문~청구역,20,2005,22,25,B,4선로,SR09-20R,29,LED60(W)
청구로,청구역~구경계,20,2005,22,25,B,4선로,SR09-20R,47,LED90(W)
청구로,청구역~구경계,20,2005,22,25,B,4선로,SR09-20RY,8,LED90(W)
청구로,청구역~구경계,20,2005,22,25,B,4선로,SR09-20RY(4),1,LED90(W)
청구로1길,광희문~청구역,16,2005,22,25,B,4선로,SR09-20RY,2,LED80(W)
청구로1길,광희문~청구역,16,2005,22,25,B,4선로,SR09-20R,6,LED80(W)
청구로4길,대림e편한APT~동화로초입,10,2011,22,27,C,4선로,R07-20R,16,CDM200(W)
청구로4길,대림e편한APT~동화로초입,10,2011,22,27,C,4선로,R09-20R,7,CDM200(W)
청구로4길,대림e편한APT~동화로초입,10,2011,22,27,C,4선로,R09-20RY,3,CDM200(W)
통일로2길,중앙일보B/D ~대한통운B/D,20,2006,22,25,C,4선로,SE09-15Q,10,LED90(W)
통일로2길,중앙일보B/D ~대한통운B/D,20,2008,22,25,B,4선로,R10-25R,11,LED60(W)
통일로2길,중앙일보B/D ~대한통운B/D,20,2008,22,25,C,4선로,R08-25R,3,LED70(W)
통일로4길,바비엥~농협중앙회,16,2019,22,20,C,3선로,C4.8RY,14,LED35(W)
통일로4길,바비엥~농협중앙회,16,2019,22,20,C,4선로,C4.8RY,10,LED35(W)
통일로4길,바비엥~농협중앙회,16,2011,22,20,C,4선로,C4.8RY,8,LED35(W)
통일로4길,농헙 기부체,16,2011,22,20,C,4선로,R05,6,CDM70(W)
퇴계로12길,우리은행본점~ 회현스포츠센타,14,1998,20,20,C,3선로,SR05Y,4,MH200(W)
퇴계로12길,우리은행본점~ 회현스포츠센타,14,2001,20,20,C,4선로,C4.8RY,3,MH200(W)
퇴계로12길,우리은행본점~ 회현스포츠센타,6,2019,18,16,C,4선로,"R05(철제,목주)",10,LED50(w)
퇴계로12길,회현동 롯데케슬 앞 녹지조성,20,2019,20,5,C,4선로,R05(목주),4,LED35(W)
퇴계로12길,반포로~회현동 롯데케슬 주변,10,2011,22,20,C,4선로,R08-20R,14,CDM200(W)
퇴계로12길,반포로~회현동 롯데케슬 주변,10,2011,22,20,C,4선로,R08-20RY,1,CDM200(W)
퇴계로12길,우리은행본점~퇴계로진입로,10,2009,22,20,C,4선로,R08-20R,3,CDM200(W)
퇴계로14길,회현소방소~프라임타워빌딩,10,2010,22,20,C,4선로,R08-20R,9,LED75(W)
퇴계로18길,명동역3출구~중국대사관,6,2008,20,30,C,3선로,AR05,17,LED50(W)
퇴계로20길,명동사무소~남산외교구락부,6,1998,22,30,C,3선로,SR05,12,MH200(W)
퇴계로27길,남산스퀘어빌딩 부근,5,2019,20,30,C,4선로,R07,2,LED75(W)
퇴계로41길(상가),진양상가,15,1996,22,26,C,3선로,벽부 치부형,0,LED50(W)
퇴계로50길,충무 초교앞 이면도로,12,2008,20,20,C,3선로,R08-25R,5,LED75(W)
퇴계로53길,국민은행(쌍림점)~쌍용빌딩,8,2010,22,17,C,4선로,R09-2.5R,8,LED60(W)
퇴계로75길,충무아트홀 이면도로,8,2010,20,20,C,3선로,AR05,6,LED50(W)
퇴계로76길,신당동 떡복기길이면도로,12,2016,20,20,C,4선로,R07-14R,17,LED60(W)
퇴계로87길,아크로 타워 이면도로,12,2011,20,25,C,4선로,R08-20R,5,LED50(W)
퇴계로87길,아크로 타워 이면도로,12,2011,20,25,C,4선로,AR05-05,8,LED50(W)
퇴계로90길, 삼성래미안APT 주변 이면도로,10,2011,22,25,C,4선로,R08-20R,25,CDM200(W)
퇴계로90길, 삼성래미안APT 주변 이면도로,10,2011,22,25,C,4선로,R06-10R,4,CDM70(W)
퇴계로90길, 삼성래미안APT 주변 이면도로,10,2011,22,20,C,4선로,AR05,4,CDM70(W)
필동로,퇴계로에서우측,12,2017,30,30,B,4선로,R08-20R,27,LED70W
필동로,퇴계로에서우측,12,2010,30,30,B,4선로,R08-20R,24,CDM200W
"후암동2,3길",남산타워 빌 ~CJ빌딩,12,2010,22,30,C,4선로,R08-25R,5,CDM200(W)
"후암동2,3길",남산타워 빌 ~CJ빌딩,12,2010,20,20,C,4선로,AR05,3,CDM200(W)
세종대로 숭례문 남측,남대문시장1번게이트쪽,8,2016,15,20,C,2선로,R5-5R,3,LED50(W)
퇴계로36길,충무로역3번출구~필동로,6,2017,30,30,C,4선로,R06-06R,10,LED50W
영국대사관 후문,영국대사관 후문,4,2017,20,30,C,4선로,R05,5,LED39W
서소문로9길,덕수궁 롯데캐슬,8,2016,20,20,C,4선로,R06-1R,13,LED50(W)
을지로9길,신한L타워,8,2016,20,16,C,4선로,R06-1R,8,LED50(W)
명동13길,대신증권,6,2017,20,17,C,4선로,R06-1R,8,LED50(W)
손기정로,만리재로~마포구경계,10,2018,21,20,C,4선로,R08-1R,17,LED50(W)
동호로17길,동호로~다산아트공용주차장,7,2018,21,20,C,4선로,SR06-0.5R,41,LED50(W)
동호로17길,동호로~다산아트공용주차장,7,2018,21,20,C,5선로,SR06Y-0.5R,3,LED50(W)
