No,메인 키,기관 코드,유형1,유형2,대표 기관명,전체 기관명,최하위 기관명,대표 전화번호,새 우편번호,지번 주소,도로명 주소,행정 시,행정 구,행정 동,경도,위도,상태
1,BE_LiST31-0307,3070048,지자체,8읍면동_동,서울특별시,서울특별시 성북구 돈암2동주민센터,돈암2동주민센터,02-2241-5160,02825,,서울특별시 성북구 흥천사길 7 (돈암동),서울특별시,성북구,돈암2동,127.010536367878,37.5980122344971,정좌표
2,BE_LiST31-0308,3070143,지자체,8읍면동_동,서울특별시,서울특별시 성북구 동선동주민센터,동선동주민센터,02-2241-5080,02840,,서울특별시 성북구 동소문로26길 27 (동선동),서울특별시,성북구,동선동,127.020409285575,37.5939809454157,정좌표
3,BE_LiST31-0309,3070050,지자체,8읍면동_동,서울특별시,서울특별시 성북구 보문동주민센터,보문동주민센터,02-2241-5240,02859,,서울특별시 성북구 보문동7가 108-1 (보문동),서울특별시,성북구,보문동,127.022829270021,37.5803832888902,정좌표
4,BE_LiST31-0310,3070142,지자체,8읍면동_동,서울특별시,서울특별시 성북구 삼선동주민센터,삼선동주민센터,02-2241-5040,02847,,서울특별시 성북구 보문로 190 (삼선동),서울특별시,성북구,삼선동,127.014641255314,37.5908443043778,정좌표
5,BE_LiST31-0485,3010033,지자체,보건_보건소,서울특별시,서울특별시 중구 보건소,보건소,02-3396-5555,04611,,서울특별시 중구 다산로 39길 16 (무학동),서울특별시,중구,신당동,127.015096152088,37.5645877895091,정좌표
6,BE_LiST31-0486,3200213,지자체,보건_보건지소,서울특별시,서울특별시 관악구 보건소 보건지소,보건지소,02-879-7407,08720,,서울특별시 관악구 관악로 279-7,서울특별시,관악구,낙성대동,126.957540115887,37.4886710161662,인근좌표
7,BE_LiST31-0487,3040171,지자체,보건_보건지소,서울특별시,서울특별시 광진구 보건소 보건지소,보건지소,02-450-1424,04922,,서울특별시 광진구 긴고랑로 110 (중곡동),서울특별시,광진구,중곡2동,127.087091568985,37.5593384226032,정좌표
8,BE_LiST31-0488,3100206,지자체,보건_보건지소,서울특별시,서울특별시 노원구 보건소 공릉보건지소,공릉보건지소,02-2116-4974,01818,,서울특별시 노원구 공릉로 166-1 (공릉동),서울특별시,노원구,공릉2동,127.080002678668,37.6247883871629,정좌표
9,BE_LiST31-0489,3100209,지자체,보건_보건지소,서울특별시,서울특별시 노원구 보건소 상계보건지소,상계보건지소,02-2116-4987,01696,,서울특별시 노원구 상계로 118 (상계동),서울특별시,노원구,상계2동,127.067862728861,37.6574811653852,정좌표
10,BE_LiST31-0490,3100205,지자체,보건_보건지소,서울특별시,서울특별시 노원구 보건소 월계보건지소,월계보건지소,02-2116-4583,01905,,서울특별시 노원구 월계로 378 (월계동),서울특별시,노원구,월계3동,127.061591769685,37.6314510954508,정좌표
11,BE_LiST31-0491,3090147,지자체,보건_보건지소,서울특별시,서울특별시 도봉구 보건소 보건지소,보건지소,02-2091-5451,01466,,서울특별시 도봉구 덕릉로59길73-3 (창동),서울특별시,도봉구,창4동,127.035648110726,37.6414062720864,정좌표
12,BE_LiST31-0492,3120173,지자체,보건_보건지소,서울특별시,서울특별시 서대문구 보건소 가좌보건지소,가좌보건지소,02-3140-8357,03709,,서울특별시 서대문구 수색로100-55 (북가좌동),서울특별시,서대문구,천연동,126.910136522518,37.5743684063236,정좌표
13,BE_LiST31-0493,3210172,지자체,보건_보건지소,서울특별시,서울특별시 서초구 보건소 방배보건지소,방배보건지소,02-2155-8151,06572,,서울특별시 서초구 방배로 173,서울특별시,서초구,방배4동,126.992242692527,37.4890078752149,정좌표
14,BE_LiST31-0494,3070195,지자체,보건_보건지소,서울특별시,서울특별시 성북구 보건소 보건지소,보건지소,02-2241-6210,02830,,서울특별시 성북구 아리랑로 3길 8 (동소문동 6가),서울특별시,성북구,동선동,127.015752539505,37.5936059006387,정좌표
15,BE_LiST31-0495,3230182,지자체,보건_보건지소,서울특별시,서울특별시 송파구 보건소 보건지소,보건지소,02-2147-4843,05771,,서울특별시 송파구 양산로 5 (거여동),서울특별시,송파구,거여1동,127.142670423802,37.4897692715583,정좌표
16,BE_LiST31-0496,3110190,지자체,보건_보건지소,서울특별시,서울특별시 은평구 보건소 보건지소,보건지소,02-351-8652,03347,,서울특별시 은평구 연서로34길 11 (불광동),서울특별시,은평구,불광2동,126.927690641198,37.621561100965,정좌표
17,BE_LiST31-0497,6110582,지자체,소방_소방서,서울특별시,서울특별시 강남소방서,강남소방서,02-553-2247,06171,,서울특별시 강남구 테헤란로 629 (삼성동),서울특별시,강남구,삼성1동,127.066828873176,37.5102771948081,정좌표
18,BE_LiST31-0498,6110586,지자체,소방_소방서,서울특별시,서울특별시 강동소방서,강동소방서,02-470-0119,05397,,서울특별시 강동구 성내로 39 (성내동),서울특별시,강동구,성내1동,127.125282648794,37.5293785843842,정좌표
19,BE_LiST31-0499,6113071,지자체,소방_소방서,서울특별시,서울특별시 강북소방서,강북소방서,02-3492-3438,01334,,서울특별시 도봉구 도봉로 666,서울특별시,도봉구,방학1동,127.043096984986,37.6636453552882,정좌표
20,BE_LiST31-0500,6110585,지자체,소방_소방서,서울특별시,서울특별시 강서소방서,강서소방서,02-3663-0119,07550,,서울특별시 강서구 양천로 550,서울특별시,강서구,등촌1동,126.859758112338,37.5579606361409,정좌표
21,BE_LiST31-0501,6110584,지자체,소방_소방서,서울특별시,서울특별시 관악소방서,관악소방서,02-883-5119,08833,,서울특별시 관악구 관악로 97,서울특별시,관악구,청룡동,126.952686760258,37.4741266608285,정좌표
22,BE_LiST31-0502,6112407,지자체,소방_소방서,서울특별시,서울특별시 광진소방서,광진소방서,02-446-1385,05023,,서울특별시 광진구 광나루로 480,서울특별시,광진구,구의1동,127.082778686238,37.5448273491392,정좌표
23,BE_LiST31-0503,6110587,지자체,소방_소방서,서울특별시,서울특별시 구로소방서,구로소방서,02-2618-0119,08275,,서울특별시 구로구 경인로 408,서울특별시,구로구,고척1동,126.865215227799,37.4977924053507,정좌표
24,BE_LiST31-0504,6110579,지자체,소방_소방서,서울특별시,서울특별시 노원소방서,노원소방서,02-976-6119,01791,,서울특별시 노원구 한글비석로1길 8,서울특별시,노원구,하계1동,127.071107339414,37.6382551285826,정좌표
25,BE_LiST31-0505,6110578,지자체,소방_소방서,서울특별시,서울특별시 도봉소방서,도봉소방서,02-3492-3438,01334,,서울특별시 도봉구 도봉로 666,서울특별시,도봉구,방학1동,127.043096984986,37.6636453552882,정좌표
26,BE_LiST31-0506,6110575,지자체,소방_소방서,서울특별시,서울특별시 동대문소방서,동대문소방서,02-2212-0199,02644,,서울특별시 동대문구 장한로 34,서울특별시,동대문구,장안1동,127.066709989213,37.5638420813043,정좌표
27,BE_LiST31-0507,6110591,지자체,소방_소방서,서울특별시,서울특별시 동작소방서,동작소방서,02-847-1190,07062,,서울특별시 동작구 여의대방로16길 55,서울특별시,동작구,신대방2동,126.917718977426,37.4946737759618,정좌표
28,BE_LiST31-0508,6110581,지자체,소방_소방서,서울특별시,서울특별시 마포소방서,마포소방서,02-701-3495,04098,,서울특별시 마포구 창전로 76,서울특별시,마포구,신수동,126.933228592582,37.5490736784942,정좌표
29,BE_LiST31-0509,6111663,지자체,소방_소방서,서울특별시,서울특별시 서대문소방서,서대문소방서,02-3144-1190,03720,,서울특별시 서대문구 연희로 182,서울특별시,서대문구,연희동,126.935996474908,37.5732058691259,정좌표
30,BE_LiST31-0510,6110583,지자체,소방_소방서,서울특별시,서울특별시 서초소방서,서초소방서,02-591-0119,06550,,서울특별시 서초구 사평대로 67,서울특별시,서초구,반포2동,126.992025168116,37.4987888413285,정좌표
31,BE_LiST31-0511,6110577,지자체,소방_소방서,서울특별시,서울특별시 성북소방서,성북소방서,02-925-2001,02803,,서울특별시 성북구 종암로 27길 3,서울특별시,성북구,종암동,127.031746996734,37.6024214065716,정좌표
32,BE_LiST31-0512,6111585,지자체,소방_소방서,서울특별시,서울특별시 소방서,소방서,02-3706-1315,04628,,서울특별시 중구 퇴계로26길 52,서울특별시,중구,필동,126.988996110864,37.5589208943841,정좌표
33,BE_LiST31-0513,6110588,지자체,소방_소방서,서울특별시,서울특별시 송파소방서,송파소방서,02-431-5119,05737,,서울특별시 송파구 오금로51길 56,서울특별시,송파구,마천2동,127.142592765256,37.4998350066004,정좌표
34,BE_LiST31-0514,6110589,지자체,소방_소방서,서울특별시,서울특별시 양천소방서,양천소방서,02-2655-1119,07992,,서울특별시 양천구 목동서로 180,서울특별시,양천구,목1동,126.880528687277,37.5424089047312,인근좌표
36,BE_LiST31-0314,3070060,지자체,8읍면동_동,서울특별시,서울특별시 성북구 월곡1동주민센터,월곡1동주민센터,02-2241-5560,02741,,서울특별시 성북구 오패산로 96 (월곡동),서울특별시,성북구,월곡1동,127.035762225292,37.6105369152685,정좌표
37,BE_LiST31-0315,3070061,지자체,8읍면동_동,서울특별시,서울특별시 성북구 월곡2동주민센터,월곡2동주민센터,02-2241-5600,02793,,서울특별시 성북구 화랑로 152 (월곡동),서울특별시,성북구,월곡2동,127.04787176003,37.6057797736907,정좌표
38,BE_LiST31-0316,3070065,지자체,8읍면동_동,서울특별시,서울특별시 성북구 장위1동주민센터,장위1동주민센터,02-2241-5640,02756,,서울특별시 성북구 장위로 61 (장위동),서울특별시,성북구,장위1동,127.043668175249,37.6140694655128,정좌표
39,BE_LiST31-0317,3070066,지자체,8읍면동_동,서울특별시,서울특별시 성북구 장위2동주민센터,장위2동주민센터,02-2241-5680,02770,,서울특별시 성북구 돌곶이로27길 12 (장위동),서울특별시,성북구,장위2동,127.054499668668,37.6123927150014,정좌표
40,BE_LiST31-0318,3070067,지자체,8읍면동_동,서울특별시,서울특별시 성북구 장위3동주민센터,장위3동주민센터,02-2241-5720,02774,,서울특별시 성북구 한천로 657 (장위동),서울특별시,성북구,장위3동,127.056614246696,37.6165592014012,정좌표
41,BE_LiST31-0319,3070051,지자체,8읍면동_동,서울특별시,서울특별시 성북구 정릉1동주민센터,정릉1동주민센터,02-2241-5280,02819,,서울특별시 성북구 정릉로38마길 33 (정릉동),서울특별시,성북구,정릉1동,127.016640659091,37.6014342839831,정좌표
42,BE_LiST31-0320,3070052,지자체,8읍면동_동,서울특별시,서울특별시 성북구 정릉2동주민센터,정릉2동주민센터,02-2241-5320,02814,,서울특별시 성북구 정릉로26길 1 (정릉동),서울특별시,성북구,정릉2동,127.011140542043,37.6044671806358,정좌표
43,BE_LiST31-0321,3070053,지자체,8읍면동_동,서울특별시,서울특별시 성북구 정릉3동주민센터,정릉3동주민센터,02-2241-5360,02708,,서울특별시 성북구 솔샘로1길 6-3 (정릉동),서울특별시,성북구,정릉3동,127.004180801786,37.6089607179807,정좌표
44,BE_LiST31-0322,3070054,지자체,8읍면동_동,서울특별시,서울특별시 성북구 정릉4동주민센터,정릉4동주민센터,02-2241-5400,02702,,서울특별시 성북구 보국문로 106-1 (정릉동),서울특별시,성북구,정릉4동,127.007021036657,37.613362147828,정좌표
45,BE_LiST31-0323,3070144,지자체,8읍면동_동,서울특별시,서울특별시 성북구 종암동주민센터,종암동주민센터,02-2241-5520,02797,,서울특별시 성북구 종암로 98-8 (종암동),서울특별시,성북구,종암동,127.03522199088,37.5990313989473,정좌표
46,BE_LiST31-0324,3230055,지자체,8읍면동_동,서울특별시,서울특별시 송파구 가락1동주민센터,가락1동주민센터,02-2147-4450,05698,,서울특별시 송파구 송파대로 345 (가락동 가락초등학교 내),서울특별시,송파구,가락1동,127.1089204925,37.4998455088661,정좌표
47,BE_LiST31-0325,3230056,지자체,8읍면동_동,서울특별시,서울특별시 송파구 가락2동주민센터,가락2동주민센터,02-2147-4480,05822,,서울특별시 송파구 중대로20길 6 (가락동),서울특별시,송파구,가락2동,127.126609860575,37.4986779756418,정좌표
48,BE_LiST31-0326,3230054,지자체,8읍면동_동,서울특별시,서울특별시 송파구 가락본동주민센터,가락본동주민센터,02-2147-4420,05717,,서울특별시 송파구 송파대로28길 39 (가락동),서울특별시,송파구,가락본동,127.121759396964,37.495577723625,정좌표
49,BE_LiST31-0327,3230042,지자체,8읍면동_동,서울특별시,서울특별시 송파구 거여1동주민센터,거여1동주민센터,02-2147-4060,05735,,서울특별시 송파구 오금로53길 (거여동),서울특별시,송파구,잠실6동,127.105363023456,37.5170620889679,인근좌표
50,BE_LiST31-0328,3230043,지자체,8읍면동_동,서울특별시,서울특별시 송파구 거여2동주민센터,거여2동주민센터,02-2147-4090,05768,,서울특별시 송파구 거마로2길 19 (거여동),서울특별시,송파구,거여2동,127.146823962993,37.4935326049887,정좌표
51,BE_LiST31-0329,3230044,지자체,8읍면동_동,서울특별시,서울특별시 송파구 마천1동주민센터,마천1동주민센터,02-2147-4120,05757,,서울특별시 송파구 마천로 303 (마천동),서울특별시,송파구,마천1동,127.149954422321,37.4960127385049,정좌표
52,BE_LiST31-0330,3230045,지자체,8읍면동_동,서울특별시,서울특별시 송파구 마천2동주민센터,마천2동주민센터,02-2147-4150,05756,,서울특별시 송파구 마천로 287 (마천동),서울특별시,송파구,마천2동,127.148532204584,37.4968388511932,정좌표
53,BE_LiST31-0331,3230057,지자체,8읍면동_동,서울특별시,서울특별시 송파구 문정1동주민센터,문정1동주민센터,02-2147-4510,05804,,서울특별시 송파구 동남로 116 (문정동),서울특별시,송파구,문정1동,127.124178935453,37.4900712691632,정좌표
54,BE_LiST31-0332,3230058,지자체,8읍면동_동,서울특별시,서울특별시 송파구 문정2동주민센터,문정2동주민센터,02-2147-4540,05834,,서울특별시 송파구 새말로19길 6 (문정동),서울특별시,송파구,장지동,127.132439114048,37.4869673619695,정좌표
55,BE_LiST31-0333,3230046,지자체,8읍면동_동,서울특별시,서울특별시 송파구 방이1동주민센터,방이1동주민센터,02-2147-4180,05640,,서울특별시 송파구 방이1동 26 (방이동),서울특별시,송파구,오륜동,127.107580284212,37.5151431799985,인근좌표
56,BE_LiST31-0334,3230047,지자체,8읍면동_동,서울특별시,서울특별시 송파구 방이2동주민센터,방이2동주민센터,02-2147-4210,05546,,서울특별시 송파구 백제고분로 495 (방이동),서울특별시,송파구,방이2동,127.11444924645,37.5145524294486,정좌표
57,BE_LiST31-0335,3230053,지자체,8읍면동_동,서울특별시,서울특별시 송파구 삼전동주민센터,삼전동주민센터,02-2147-4390,05584,,서울특별시 송파구 백제고분로 236 (삼전동),서울특별시,송파구,삼전동,127.09252235628,37.5027240122795,정좌표
58,BE_LiST31-0336,3230052,지자체,8읍면동_동,서울특별시,서울특별시 송파구 석촌동주민센터,석촌동주민센터,02-2147-4360,05684,,서울특별시 송파구 백제고분로37길 16 (석촌동),서울특별시,송파구,석촌동,127.103686069736,37.5035652861027,정좌표
59,BE_LiST31-0337,3230050,지자체,8읍면동_동,서울특별시,서울특별시 송파구 송파1동주민센터,송파1동주민센터,02-2147-4300,05666,,서울특별시 송파구 백제고분로42길 5 (송파동),서울특별시,송파구,송파1동,127.109731676385,37.5059289515434,정좌표
60,BE_LiST31-0338,3230051,지자체,8읍면동_동,서울특별시,서울특별시 송파구 송파2동주민센터,송파2동주민센터,02-2147-4330,05674,,서울특별시 송파구 송이로 32 (송파동),서울특별시,송파구,송파2동,127.116735332298,37.5023160641665,정좌표
61,BE_LiST31-0032,3220049,지자체,8읍면동_동,서울특별시,서울특별시 강남구 대치1동주민센터,대치1동주민센터,02-3423-8320,06280,,서울특별시 강남구 남부순환로391길 19,서울특별시,강남구,대치1동,127.056775805528,37.4932459411649,정좌표
62,BE_LiST31-0033,3220050,지자체,8읍면동_동,서울특별시,서울특별시 강남구 대치2동주민센터,대치2동주민센터,02-3423-8420,06187,,서울특별시 강남구 영동대로65길 24,서울특별시,강남구,대치2동,127.064188631213,37.502305148815,정좌표
63,BE_LiST31-0034,3220052,지자체,8읍면동_동,서울특별시,서울특별시 강남구 대치4동주민센터,대치4동주민센터,02-3423-8520,06204,,서울특별시 강남구 도곡로77길 23,서울특별시,강남구,대치4동,127.057849716803,37.4997307450914,정좌표
64,BE_LiST31-0035,3220055,지자체,8읍면동_동,서울특별시,서울특별시 강남구 도곡1동주민센터,도곡1동주민센터,02-3423-7470,06269,,서울특별시 강남구 도곡로18길 57,서울특별시,강남구,도곡1동,127.038880274961,37.4883100996496,정좌표
65,BE_LiST31-0036,3220056,지자체,8읍면동_동,서울특별시,서울특별시 강남구 도곡2동주민센터,도곡2동주민센터,02-3423-7570,06300,,서울특별시 강남구 남부순환로378길 34-9,서울특별시,강남구,도곡2동,127.046406907301,37.48372309463,정좌표
66,BE_LiST31-0037,3220047,지자체,8읍면동_동,서울특별시,서울특별시 강남구 삼성1동주민센터,삼성1동주민센터,02-3413-7820,06170,,서울특별시 강남구 봉은사로 616,서울특별시,강남구,삼성1동,127.062605828181,37.5143527158101,정좌표
67,BE_LiST31-0038,3220048,지자체,8읍면동_동,서울특별시,서울특별시 강남구 삼성2동주민센터,삼성2동주민센터,02-3423-8220,06097,,서울특별시 강남구 봉은사로 419,서울특별시,강남구,삼성2동,127.045976163343,37.5112062396529,정좌표
68,BE_LiST31-0039,3220061,지자체,8읍면동_동,서울특별시,서울특별시 강남구 세곡동주민센터,세곡동주민센터,02-3423-8670,06377,,서울특별시 강남구 밤고개로 286,서울특별시,강남구,세곡동,127.10691394412,37.4690516972714,정좌표
69,BE_LiST31-0040,3220065,지자체,8읍면동_동,서울특별시,서울특별시 강남구 수서동주민센터,수서동주민센터,02-3423-8570,06349,,서울특별시 강남구 광평로 301-4,서울특별시,강남구,수서동,127.104990867396,37.4889034208812,정좌표
70,BE_LiST31-0041,3220040,지자체,8읍면동_동,서울특별시,서울특별시 강남구 신사동주민센터,신사동주민센터,02-3423-7320,06029,,서울특별시 강남구 압구정로 128,서울특별시,강남구,신사동,127.02279723608,37.5239748740757,정좌표
71,BE_LiST31-0042,3220141,지자체,8읍면동_동,서울특별시,서울특별시 강남구 압구정동주민센터,압구정동주민센터,02-3423-7620,06004,,서울특별시 강남구 압구정로33길48,서울특별시,강남구,압구정동,127.030652771062,37.5306177894599,정좌표
72,BE_LiST31-0043,3220053,지자체,8읍면동_동,서울특별시,서울특별시 강남구 역삼1동주민센터,역삼1동주민센터,02-3423-8620,06244,,서울특별시 강남구 역삼로7길 16,서울특별시,강남구,역삼1동,127.033284429482,37.4953739882902,정좌표
73,BE_LiST31-0044,3220054,지자체,8읍면동_동,서울특별시,서울특별시 강남구 역삼2동주민센터,역삼2동주민센터,02-3423-7370,06219,,서울특별시 강남구 도곡로43길 25,서울특별시,강남구,역삼2동,127.04681363355,37.4959708142546,정좌표
74,BE_LiST31-0045,3220063,지자체,8읍면동_동,서울특별시,서울특별시 강남구 일원1동주민센터,일원1동주민센터,02-3423-8370,06341,,서울특별시 강남구 양재대로55길 14,서울특별시,강남구,일원1동,127.088023332956,37.49184926081,정좌표
75,BE_LiST31-0046,3220064,지자체,8읍면동_동,서울특별시,서울특별시 강남구 일원2동주민센터,일원2동주민센터,02-3423-8470,06335,,서울특별시 강남구 개포로 607,서울특별시,강남구,일원2동,127.073681289866,37.492155586165,정좌표
76,BE_LiST31-0047,3220062,지자체,8읍면동_동,서울특별시,서울특별시 강남구 일원본동주민센터,일원본동주민센터,02-3423-8270,06361,,서울특별시 강남구 광평로 126,서울특별시,강남구,일원본동,127.086482095846,37.4833778296294,정좌표
77,BE_LiST31-0048,3220142,지자체,8읍면동_동,서울특별시,서울특별시 강남구 청담동주민센터,청담동주민센터,02-3423-7720,06012,,서울특별시 강남구 압구정로79길 26,서울특별시,강남구,청담동,127.049291405109,37.5250929779353,정좌표
78,BE_LiST31-0049,3240086,지자체,8읍면동_동,서울특별시,서울특별시 강동구 강일동주민센터,강일동주민센터,02-3425-7400,05211,,서울특별시 강동구 아리수로93길 9-14 (강일동),서울특별시,강동구,강일동,127.173907345248,37.5650407749063,정좌표
79,BE_LiST31-0050,3240043,지자체,8읍면동_동,서울특별시,서울특별시 강동구 고덕1동주민센터,고덕1동주민센터,02-3425-7520,05231,,서울특별시 강동구 양재대로156길 123 (고덕동),서울특별시,강동구,고덕1동,127.151507852784,37.5572815698995,정좌표
80,BE_LiST31-0051,3240044,지자체,8읍면동_동,서울특별시,서울특별시 강동구 고덕2동주민센터,고덕2동주민센터,02-3425-7550,05220,,서울특별시 강동구 아리수로78길 43-12 (고덕동),서울특별시,강동구,고덕2동,127.16435459063,37.5605039027297,정좌표
81,BE_LiST31-0052,3240152,지자체,8읍면동_동,서울특별시,서울특별시 강동구 길동주민센터,길동주민센터,02-3425-7850,05344,,서울특별시 강동구 명일로 229-1 (길동),서울특별시,강동구,길동,127.14619683451,37.5392217324866,정좌표
83,BE_LiST31-0054,3240059,지자체,8읍면동_동,서울특별시,서울특별시 강동구 둔촌2동주민센터,둔촌2동주민센터,02-3425-7910,05361,,서울특별시 강동구 천호대로186길 7 (둔촌동),서울특별시,강동구,둔촌2동,127.141947635228,37.5333445191523,정좌표
84,BE_LiST31-0055,3240041,지자체,8읍면동_동,서울특별시,서울특별시 강동구 명일1동주민센터,명일1동주민센터,02-3425-7460,05292,,서울특별시 강동구 양재대로138길 37 (명일동),서울특별시,강동구,명일1동,127.145983575821,37.5497624446658,정좌표
85,BE_LiST31-0056,3240042,지자체,8읍면동_동,서울특별시,서울특별시 강동구 명일2동주민센터,명일2동주민센터,02-3425-7490,05299,,서울특별시 강동구 상암로 260 (명일동),서울특별시,강동구,명일2동,127.151349981468,37.5463588516293,정좌표
86,BE_LiST31-0057,3240040,지자체,8읍면동_동,서울특별시,서울특별시 강동구 상일동주민센터,상일동주민센터,02-3425-7430,05276,,서울특별시 강동구 고덕로80길 111 (상일동),서울특별시,강동구,상일동,127.167068166099,37.5519825225623,인근좌표
87,BE_LiST31-0058,3240053,지자체,8읍면동_동,서울특별시,서울특별시 강동구 성내1동주민센터,성내1동주민센터,02-3425-7760,05392,,서울특별시 강동구 성내로 13 (성내동),서울특별시,강동구,성내1동,127.122455444689,37.5304726607847,정좌표
88,BE_LiST31-0059,3240054,지자체,8읍면동_동,서울특별시,서울특별시 강동구 성내2동주민센터,성내2동주민센터,02-3425-7790,05388,,서울특별시 강동구 풍성로37가길 62 (성내동),서울특별시,강동구,성내2동,127.129540056702,37.5324285075838,정좌표
